title
[공지] 2024학년도 재학생(2022학번 이전 학번) 수강신청 관련 주요사항 안내
[공지] 2024학년도 신입생 수강신청 관련 주요사항 안내 *필독*
2024학년도 1학기 재학생 등록금 수납계획 알림
[안내] 2024학년도 1학기 휴학 및 복학 신청 안내
AI융합학과 졸업 요건 안내
[교육] 2023학년도 2학기 스마트폰 과의존 예방교육 이수 안내(23.03.01~24.02.29.)
[안내] 공결 신청 안내
[안내] 2024년 상반기 한·미 대학생 연수(WEST) 프로그램 참가자 모집 안내 NEW
[안내] 2024학년도 KNU 현장 연계형 새내기진로탐색 [각양각색 各樣各色] 신청안내(~2/26(월)까지) NEW
[장학] 2024학년도 1학기 국가장학금 2차 신청 안내
[장학] 2024학년도 1학기 국가근로장학금 희망근로기관 신청 안내
[안내] 2024학년도 1학기 거점국립대학 원격수업 학점교류 강좌 수강 안내
[교육] 2023학년도 동계 컴퓨터 활용 능력 향상 프로그램
"[교육] 정밀의료 데이터 분석을 위한 머신러닝, 의료 데이터 딥러닝 부트캠프"
[장학] 2024학년도 신입생 우선감면 장학 신청 안내
[장학] 2024학년도 1학기푸른등대 기부장학사업 신규장학생 선발 안내
"[장학] 2024년도 1, 2학기 ACS-ESP Buddy Program 선발 안내"
